GameID,Timestamp,Player,Faction,Turn Order,Game Score,Tournament Score,Map,Clearing Distribution,Deck,Undrafted Faction,Turn Timing,Dom/Coal,Season
DbInput!42203,2025-06-23 12:52:26.448890+00:00,Crono+5137,Lizard Cult,3,27,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42203,2025-06-23 12:52:26.448890+00:00,Ronski+1238,Keepers in Iron,2,31,1,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42203,2025-06-23 12:52:26.448890+00:00,pookypossum+9865,Lord of the Hundreds,1,29,0,Autumn,Random,Exiles and Partisans,,Async,,M02
DbInput!42194,2025-06-23 02:34:17.006385+00:00,KFull+1226,Keepers in Iron,4,26,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42194,2025-06-23 02:34:17.006385+00:00,ShuShuBana+2889,Woodland Alliance,3,24,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42194,2025-06-23 02:34:17.006385+00:00,GlisteningGeetus+4225,Eyrie Dynasties,2,30,1,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42194,2025-06-23 02:34:17.006385+00:00,DarkOwl+5198,Lizard Cult,1,24,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42190,2025-06-22 22:26:10.711702+00:00,AERotters+5277,Corvid Conspiracy,4,23,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
DbInput!42190,2025-06-22 22:26:10.711702+00:00,Hayjay+3964,Underground Duchy,3,30,1,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
DbInput!42190,2025-06-22 22:26:10.711702+00:00,Acecreamsundae+1472,Eyrie Dynasties,2,18,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
DbInput!42190,2025-06-22 22:26:10.711702+00:00,Led_Slash+3579,Marquise de Cat,1,24,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Async,,M02
DbInput!42180,2025-06-22 13:09:35.876096+00:00,Awesem+1966,Marquise de Cat,4,23,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42180,2025-06-22 13:09:35.876096+00:00,RFMerlo+6470,Vagabond (Vagrant),3,13,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42180,2025-06-22 13:09:35.876096+00:00,Decoy+2687,Woodland Alliance,2,17,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42180,2025-06-22 13:09:35.876096+00:00,NadtyLite+7330,Eyrie Dynasties,1,31,1,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42179,2025-06-22 12:40:02.790806+00:00,brunados+9847,Lord of the Hundreds,4,15,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42179,2025-06-22 12:40:02.790806+00:00,Karcher+6280,Vagabond (Tinker),3,21,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42179,2025-06-22 12:40:02.790806+00:00,Crono+5137,Eyrie Dynasties,2,12,0,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42179,2025-06-22 12:40:02.790806+00:00,Hayjay+3964,Corvid Conspiracy,1,30,1,Autumn,Random,Exiles and Partisans,Marquise de Cat,Async,,M02
DbInput!42178,2025-06-22 11:40:29.390709+00:00,tjudge+8299,Eyrie Dynasties,4,19,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42178,2025-06-22 11:40:29.390709+00:00,NonStInc.+6190,Underground Duchy,3,30,1,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42178,2025-06-22 11:40:29.390709+00:00,Ahwall+2567,Lord of the Hundreds,2,24,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42178,2025-06-22 11:40:29.390709+00:00,Snowspace+9525,Vagabond (Ranger),1,26,0,Autumn,Random,Exiles and Partisans,Riverfolk Company,Async,,M02
DbInput!42177,2025-06-22 09:03:08.092135+00:00,okzdd+1563,Riverfolk Company,4,19,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Live,,M02
DbInput!42177,2025-06-22 09:03:08.092135+00:00,ayornman+1,Eyrie Dynasties,3,12,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Live,,M02
DbInput!42177,2025-06-22 09:03:08.092135+00:00,Dragonsplay+2262,Keepers in Iron,2,2,0,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Live,,M02
DbInput!42177,2025-06-22 09:03:08.092135+00:00,PGSnake+4418,Underground Duchy,1,30,1,Autumn,Random,Exiles and Partisans,Lord of the Hundreds,Live,,M02
DbInput!42175,2025-06-22 01:54:02.620414+00:00,MapacheGordo+7331,Underground Duchy,4,19,0,Autumn,Random,Exiles and Partisans,Keepers in Iron,Async,,M02
DbInput!42175,2025-06-22 01:54:02.620414+00:00,mouseinabox+992,Vagabond (Ranger),3,20,0,Autumn,Random,Exiles and Partisans,Keepers in Iron,Async,,M02
DbInput!42175,2025-06-22 01:54:02.620414+00:00,SebasDoge+6972,Marquise de Cat,2,24,0,Autumn,Random,Exiles and Partisans,Keepers in Iron,Async,,M02
